LCD ,PLD,LFPD ,Density,PV(1),PV(2),PV(3),Dia,Pol,Dip,Qua ,Diffusion_Coefficient(?2/ps),D_LOG
6.0027,5.74816,6.0027,0.97003,1069.62,0.4749,0.489573,2.89,8.042,0,0.662,0.000924,-3.034152741
19.719,19.51272,19.719,0.457701,3976.39,0.76344,1.66799,2.89,8.042,0,0.662,0.0036,-2.443210812
16.86472,16.31454,16.86472,0.48611,3989.26,0.74488,1.53233,2.89,8.042,0,0.662,0.00214,-2.668676901
13.63705,13.20303,13.63705,0.568267,3499.89,0.70456,1.23984,2.89,8.042,0,0.662,0.00218,-2.662059628
8.24978,7.29541,8.24978,0.827221,2106.58,0.55752,0.673968,2.89,8.042,0,0.662,0.000812,-3.090447001
12.34365,11.95844,12.33636,0.971191,4557.64,0.61928,0.63765,2.89,8.042,0,0.662,0.00195,-2.710287685
9.97178,9.76618,9.97178,0.833473,4492.24,0.54978,0.659626,2.89,8.042,0,0.662,0.00108,-2.965658497
5.00402,3.04393,4.92871,0.928891,3665.47,0.5162,0.555716,2.89,8.042,0,0.662,0.000525,-3.279428597
16.46047,13.64478,16.46047,0.331563,18445.7,0.83954,2.53207,2.89,8.042,0,0.662,0.0041,-2.387714738
11.5101,7.64416,11.50422,0.30788,3838.41,0.83824,2.72262,2.89,8.042,0,0.662,0.00382,-2.417523178
6.34336,5.7532,6.32614,0.46182,4642.98,0.76046,1.64666,2.89,8.042,0,0.662,0.00469,-2.32925585
7.67734,4.72002,7.67734,0.61576,1558.05,0.6805,1.10514,2.89,8.042,0,0.662,0.0015,-2.824546267
5.87881,5.64925,5.87881,0.769704,2179.65,0.595,0.773024,2.89,8.042,0,0.662,0.000421,-3.375703934
14.32155,12.10114,14.32155,0.316997,7763.79,0.87284,2.75347,2.89,8.042,0,0.662,0.00372,-2.429596686
7.53693,6.98122,7.53693,0.503514,5448.89,0.71624,1.42248,2.89,8.042,0,0.662,0.00195,-2.70952773
7.85886,7.73396,7.85886,0.722943,3849.23,0.57478,0.795056,2.89,8.042,0,0.662,0.000745,-3.127849361
10.00281,9.94781,10.00281,0.665212,5361.35,0.6094,0.916099,2.89,8.042,0,0.662,0.00144,-2.841281951
7.06143,6.35265,7.05587,0.766111,4148.55,0.60348,0.787719,2.89,8.042,0,0.662,0.000606,-3.217590789
16.30857,13.66038,16.29329,0.31175,18507.3,0.83908,2.69152,2.89,8.042,0,0.662,0.00189,-2.72308719
13.46817,12.29168,13.46817,0.279806,18833.1,0.85572,3.05826,2.89,8.042,0,0.662,0.00533,-2.273484121
5.97729,4.40763,5.96864,0.954643,3469.33,0.4716,0.494007,2.89,8.042,0,0.662,0.000415,-3.382002795
24.32238,23.92011,24.32238,0.52243,4098.54,0.7301,1.39751,2.89,8.042,0,0.662,0.000672,-3.172761207
25.26264,24.67919,25.26264,0.390499,5910.42,0.78698,2.01532,2.89,8.042,0,0.662,0.00284,-2.547094731
27.99964,24.50311,27.99964,0.165176,18002.7,0.91452,5.53664,2.89,8.042,0,0.662,0.00559,-2.252460759
34.88693,32.02224,34.88693,0.135322,25374,0.9303,6.8747,2.89,8.042,0,0.662,0.0105,-1.977902448
41.51057,38.93275,41.51057,0.11389,36698.5,0.93942,8.2485,2.89,8.042,0,0.662,0.0152,-1.817707685
27.58431,27.22939,27.58431,0.52721,5063.93,0.7517,1.42581,2.89,8.042,0,0.662,0.00108,-2.966460882
18.53359,18.07182,18.53359,0.569857,3359.8,0.70566,1.23831,2.89,8.042,0,0.662,0.00209,-2.680441094
10.44945,9.97193,10.44945,0.74957,433.892,0.62708,0.836587,2.89,8.042,0,0.662,0.000866,-3.062310819
9.76611,9.29839,9.76611,0.834566,368.262,0.59258,0.710045,2.89,8.042,0,0.662,0.00228,-2.642076037
29.29451,29.11054,29.29451,0.480027,2834.87,0.7632,1.58991,2.89,8.042,0,0.662,0.00278,-2.556693985
32.25806,32.1037,32.25806,0.588294,3403.44,0.72008,1.22401,2.89,8.042,0,0.662,0.0034,-2.467937421
29.86297,29.68302,29.86297,0.431883,3321.77,0.78602,1.81999,2.89,8.042,0,0.662,0.00321,-2.493490473
12.33825,12.07344,12.33825,0.500691,5474.06,0.75084,1.49961,2.89,8.042,0,0.662,0.00104,-2.982994951
10.5606,10.15959,10.5606,0.942024,416.996,0.57934,0.614995,2.89,8.042,0,0.662,0.00153,-2.815543867
31.93506,31.67982,31.93506,0.37058,4593.29,0.82536,2.22721,2.89,8.042,0,0.662,0.00292,-2.534258509
11.54437,11.36215,11.54437,0.942556,576.309,0.55868,0.592729,2.89,8.042,0,0.662,0.00127,-2.895788582
13.02033,12.6352,13.02033,0.896479,713.449,0.61674,0.687958,2.89,8.042,0,0.662,0.00124,-2.907601313
28.86447,28.67773,28.86447,0.47582,2908.93,0.771,1.62036,2.89,8.042,0,0.662,0.00298,-2.525780805
16.88793,16.56727,16.88793,0.636449,1050.77,0.66374,1.04288,2.89,8.042,0,0.662,0.00268,-2.572538284
21.27537,21.08443,21.27537,0.594721,3036.2,0.6908,1.16155,2.89,8.042,0,0.662,0.00325,-2.488179936
21.84179,21.54252,21.84179,0.573453,3232.36,0.7174,1.25102,2.89,8.042,0,0.662,0.00364,-2.438810626
15.79013,15.58649,15.79013,0.618267,2527.77,0.68516,1.1082,2.89,8.042,0,0.662,0.00366,-2.436072479
22.82201,22.49727,22.82201,0.478072,4669.6,0.75268,1.57441,2.89,8.042,0,0.662,0.00384,-2.415556612
14.11905,13.84176,14.11638,0.658341,2301.28,0.6642,1.0089,2.89,8.042,0,0.662,0.00179,-2.746359285
30.08262,29.88782,30.08262,0.502317,3247.64,0.7759,1.54464,2.89,8.042,0,0.662,0.00192,-2.716989459
31.68082,31.38514,31.68082,0.486256,6447.38,0.77402,1.5918,2.89,8.042,0,0.662,0.000917,-3.037752503
23.68646,23.42764,23.68646,0.60151,3068.85,0.72634,1.20753,2.89,8.042,0,0.662,0.00308,-2.511706762
8.42477,7.49194,8.42477,0.43771,11974.6,0.77266,1.76523,2.89,8.042,0,0.662,0.00276,-2.559876888
8.49886,7.37376,8.49886,0.521624,11568.5,0.7488,1.43552,2.89,8.042,0,0.662,0.00191,-2.71906706
31.50293,31.32681,31.50293,0.511426,10778.9,0.73294,1.43313,2.89,8.042,0,0.662,0.00332,-2.478878129
11.35144,9.73082,10.16494,0.542931,19846.3,0.71632,1.31936,2.89,8.042,0,0.662,0.00187,-2.729217895
9.50439,8.981,9.50439,0.903296,352.326,0.50322,0.557093,2.89,8.042,0,0.662,0.000606,-3.217360074
22.77645,22.59329,22.77645,0.576779,1584.14,0.7156,1.24068,2.89,8.042,0,0.662,0.00292,-2.534444785
16.0767,15.93388,16.0767,0.536196,9651.7,0.72326,1.34887,2.89,8.042,0,0.662,0.00105,-2.978992699
16.17243,15.87921,16.17243,0.780546,880.499,0.62994,0.80705,2.89,8.042,0,0.662,0.00252,-2.598568204
35.39294,35.2441,35.3892,0.421813,4612,0.79356,1.88131,2.89,8.042,0,0.662,0.00324,-2.488873678
32.90312,32.73607,32.90312,0.44405,4557.26,0.78096,1.75872,2.89,8.042,0,0.662,0.00357,-2.447150629
9.02441,8.53533,9.02441,1.04209,302.121,0.4902,0.470403,2.89,8.042,0,0.662,0.000643,-3.191912237
9.02697,8.54051,9.02697,1.0455,594.112,0.48356,0.462517,2.89,8.042,0,0.662,0.00119,-2.925540931
11.33366,10.6911,11.33366,0.790836,880.095,0.57354,0.725233,2.89,8.042,0,0.662,0.00153,-2.81424127
34.61497,34.44668,34.61497,0.420378,4610.32,0.79376,1.88821,2.89,8.042,0,0.662,0.00488,-2.311337292
22.52993,22.28222,22.52993,0.58991,1815.69,0.73536,1.24656,2.89,8.042,0,0.662,0.00433,-2.363144732
29.53268,29.34631,29.53268,0.47864,2972.84,0.77516,1.61951,2.89,8.042,0,0.662,0.00211,-2.674775763
